name	year	discipline	total_years	society_name	society_members	attendees	venue	frequency	sponsors	virtual_option	digital_archives	attendance_cost	registration_fee	carbon_footprint	other_carbon_footprint	electonic_program	onsite_maternity	onsite_childcare	caregiver_grant	career_development	ecr_promotion_events	travel_awards	code_of_conduct	safety_instructions	gender_balance	keynote_gender_balance	speaker_gender_balance	invited_gender_balance	session_chair_gender_balance	conference_chair_gender_balance	environmental_sustainability	public_engagement	sustainability_initiatives	conference_url	other_details
MAScAMB(Workshop on Mathematical and Statistical Aspects of Molecular Biology)	2019	Computational Biology	30	Cambridge Computational Biology Institute, Genetics Society, EMBO	2300	120	Hinxton, UK	Annual	EMBL, Cambridge Computational Biology Institute	None	None	 $2000-$4000	$90-$123	180	36	Yes the program was provided online on the conference website.	None	None	None	None	None	None	None	None	None	No information available online	No information available	21 Men: 10 Women	No Information available	Organizing committee: 6 Men: 2 women local organizing committee: 3 Men	None	None	None	https://www.ebi.ac.uk/about/events/2019/workshop-mathematical-and-statistical-aspects-molecular-biology	
The Biology of Genomes	2019	Ecology	1	Cold Spring Harbor Laboratory Meeting	Not Applicable	250	Cold Spring Harbor, USA	Annual	CSHL (@CSHLaboratory), Nanopore (https://nanoporetech.com/) @nanopore, PACBio (https://www.pacb.com/), National Human Cancer Genome Institute (https://www.genome.gov/)	None	None	$1500-$4000	$1260-$1515	375	75	Yes the program was provided online on the conference website.	None	None	None	None	None	None	https://meetings.cshl.edu/policies.aspx?meet=GENOME&year=19#conduct	None	None	1 Man: 1 Women	ELSI Panel: 2 Men: 2 Women	No information available	Discussion Leaders: 10 Men: 4 Women	No information available	None	None	None	https://meetings.cshl.edu/meetings.aspx?meet=GENOME&year=19	
The Identity and Evolution of Cell Types	2019	Ecology	1	The EMBO/EMBL Symposium	Not Applicable	200	EMBL Heidelberg, Germany	Annual	EMBO/EMBL, The Company of Biologists (@Co_Biologists), 10x Genomics, TTP LabTech	None	None	 $2000-$4000	$488-$814	300	60	Yes the program and even on-site handouts on logistics were provided online on the conference website.	None	Yes not free (EMBL offers onsite childcare for many of the conferences and symposia run at EMBL Heidelberg. Registration for childcare must be made online 6 weeks before the start of the event. Who and where?: Children are looked after on campus by our highly professional kindergarten teachers in the EMBL Kinderhaus. Languages: The two main languages of the carers are German and English. Childcare times: 8:30am - 5:50pm for the duration of the conference Registration fee: €100 per child, per conference What's provided?: All necessary equipment such as meals, beds, toys and diapers are provided. Criteria: The following criteria must be met to be eligible for EMBL childcare: The child must be between 3 months and 3 years One or both parents must be registered participants to the corresponding conference If your child has special dietary needs, requires medicine or special nappies, this must be provided for the duration of the conference You must agree to the EMBL Kinderhaus Medical Guidelines Valid travel insurance is required (in addition to the EMBL visitors insurance that covers the child during the conference). As childcare spaces are limited, registration will be on a first-come first-served basis. Your place can only be confirmed after payment of the registration fee.)	None	None	None	Financial Assistance  Limited financial assistance is provided by the EMBL Advanced Training Centre Corporate Partnership Programme and EMBO in the form of both registration fee waivers and travel grants. Availability will be indicated during the abstract submission process. Your place in the meeting is only confirmed by paying the registration fee, which is mandatory even when receiving a fee waiver.The fee waiver will cover the registration sum that you have paid to attend the meeting.  Travel Grant The travel grant will cover the cost of travel (airfare, train, bus, taxi, accommodation, visa) and is provided up to specified caps which are normally as follows: - €400 for participants travelling to an EMBO|EMBL Symposium from within Europe. - €1000 for participants travelling to an EMBO|EMBL Symposium from outside Europe. 	https://www.embo-embl-symposia.org/info_participants/codeofconduct/index.php	None	None	No information available online	No information available	13 Men: 8 Women	No Information available	Scientific organizers: 4 Men: 1 Women	None	None	None	https://www.embo-embl-symposia.org/symposia/2019/EES19-04/	
14th Ecology & Behaviour Conference	2019	Ecology	14	the Université Toulouse III Paul-Sabatier	Not Applicable	70	Toulous, France	Annual	(https://www.laregion.fr/), Labex Tulip (https://www.labex-tulip.fr/). EDB, the Université Toulouse III Paul-Sabatier, ceba(http://www.labex-ceba.fr/), INP(http://www.inp-toulouse.fr/fr/index.html), SDU2E, ECOlab, AMIS, CRCA(http://crca.cbi-toulouse.fr/en/home/), CBI(http://cbi-toulouse.fr/fr/), SFECA(http://fr.sfeca.info/), Theoretical and Experimental Ecology Station (https://sete-moulis-cnrs.fr/en/), Dutscher (https://www.dutscher.com/), Sevab(https://ed-sevab.univ-toulouse.fr/as/ed/edsevab/entree.pl), Museum(https://www.museum.toulouse.fr/), sfe2(https://www.sfecologie.org/), INSA(http://www.insa-toulouse.fr/fr/index.html), CNRS(https://inee.cnrs.fr/fr/institut),Toulous Tourism(https://www.toulouse-tourisme.com/office-de-tourisme) @EcoBehav2019	None	None	 $2000-$4000	$77-$257	105	21	Yes Scientific program and abstract book were both online on conference website.	None	None	None	None	None	None	None	None	None	7 Men: 6 Women	No information available	38 Wome: 32 Men	None	7 Women: 2 men	None	Yes (https://eb2019.sciencesconf.org/resource/page/id/9)	None	https://eb2019.sciencesconf.org/	
International Conference on Community Ecology	2019	Ecology	2	Not Applicable	Not Applicable	200	Bologna, Italy	Annual	Center for Ecological Research (Hungarian Academy of Scinece)(https://www.okologia.mta.hu/en), Universitat di Bologna (https://www.unibo.it/en)	None	None	 $2000-$4000	No information available	300	60	Yes Program book and Abstract book were both provided on the conference website.	None	None	None	None	None	None	None	None	None	None	4 Men: 2 Women	No information available	No Information available	Organizers: 3 Men: 2 Women, Conf chair: 1 Man	None	None	None	https://confcomec.akcongress.com/	
Molecular Mechanisms in Evolution GRC	2019	Evolution	5	Gordon Research Conference	Not Applicable	200	Easton, USA	Biennial	Genentech (https://www.gene.com/), Gordon & Betty Moore foundation (https://www.moore.org/), Journal of Molecular Evolution (https://link.springer.com/journal/239), Elsevier (https://www.elsevier.com/), Ginkgo bioworks (https://www.ginkgobioworks.com/)	None	None	 $2000-$4000	$300-$600	300	60	The prgram of speakers and sessions is online but Gordon research conferences refrain from making the book of abstracts available online.	None	GRC offers guest and child registration packages that allow guests to share your accommodations and join you at meals. Children under 4-years-old are free of charge and children ages 4-12 receive a 50% discount.	50% discount on registeration	None	accompanying GRS meeting is dedicated to ECR talks only. 	Car Strom Underrepresented Minority Fellowship: Eligibility: must be:     Graduate student, postdoc, faculty or research scientist     Hispanic or Latino, American Indian or Alaska Native, Black or African American, Native Hawaiian or Other Pacific Islander     U.S. Citizen or permanent resident with a Green Card     Currently working at a U.S. institution     Is attending a GRC for the first time	https://www.grc.org/about/grc-policies-and-legal-disclaimers/	None	None	Not Applicable to this meeting.	Not Applicable to this meeting.	29 Men: 22 Women	5 Women: 4 Men	1 Man: 1 Woman	None	None	None	https://www.grc.org/molecular-mechanisms-in-evolution-conference/2019/	
Computational & Mathematical Population Dynamics 5	2019	Evolution	5	Society for Mathematical Biology (SMB), University of Florida and Atlantic University of Florida	Not Applicable	200	Fort Lauderdale, FL,USA	Annual	Society for Mathematical Biology (https://www.smb.org/), United States National Science Foundation (NSF)	None	None	 $2000-$4000	$250-$750	300	60	None	None	None	None	None	A meet and greet networking event	None	None	None	None	None	5 Men: 4 Women	97 Men: 80 Women	Organizing Committee: 6 Men.  Scientific Committee: 7 Men: 7 Women	Organizing committee chairs: 2 Women	None	None	None	http://www.math.fau.edu/cmpd5/	
EEID (Ecology & Evolution of Infectious Diseases meeting)	2020	Evolution	18	Not Applicable	Not Applicable	200	Montpellier, France	Annual	Regional Council Occitanie/Pyrénées-Méditerranée(https://www.laregion.fr/-W(https://www.montpellier3m.fr/), Montpellier urban community (https://www.montpellier3m.fr/), I-site MUSE (Montpellier University of Excellence)(https://muse.edu.umontpellier.fr/en/muse-i-site/), Montpellier Research Observatory of the Environment CNRS-Université of Montpellier-IRD-IRSTEA(https://oreme.org/), INRAE(NRAE (French National Institute for Agricultural Research)), IRD (French National Research – Institute for Sustainable Development)(), Infectious Diseases and Vectors: Ecology, Genetics, Evolution and Control(https://www.mivegec.ird.fr/en/), Mediterranean Centre for Environment and Biodiversity Laboratory of Excellence(http://www.labex-cemeb.org/en),Doctoral School GAIA (https://gaia.umontpellier.fr/), CNRS /INEE – Institute of Ecology and Environment(https://inee.cnrs.fr/),Agropolis fondation(https://www.agropolis-fondation.fr/?lang=en), CBGP (Centre for Biology and Management of Populations) (https://www.agropolis-fondation.fr/?lang=en), French research center in Ecology and Evolutionary Ecology(https://www.cefe.cnrs.fr/en/)	None	None	 $2000-$4000	$45-$450	300	60	Yes the program was provided online on the conference website.	None	None	None	None	None	None	None	None	None	4 Man: 4 Woman	None	No information available	No information available	4 Men: 3 Women, Scientific committee: 8 Men: 8 Women	None	None	None	https://www.eeidconference2020.org/	
Animal-Microbe Symbioses GRC	2019	Evolution	4	Gordon Research Conference	Not Applicable	200	West Dover, USA	Biennial		None	None	 $2000-$4000	$300-$600	300	60	The prgram of speakers and sessions is online but Gordon research conferences refrain from making the book of abstracts available online.	None	GRC offers guest and child registration packages that allow guests to share your accommodations and join you at meals. Children under 4-years-old are free of charge and children ages 4-12 receive a 50% discount.	50% discount on registeration	None	accompanying GRS meeting is dedicated to ECR talks only. 	Car Strom Underrepresented Minority Fellowship: Eligibility: must be:     Graduate student, postdoc, faculty or research scientist     Hispanic or Latino, American Indian or Alaska Native, Black or African American, Native Hawaiian or Other Pacific Islander     U.S. Citizen or permanent resident with a Green Card     Currently working at a U.S. institution     Is attending a GRC for the first time	https://www.grc.org/about/grc-policies-and-legal-disclaimers/	None	None						None	None	None	https://www.grc.org/animal-microbe-symbioses-conference/2019/	
Biennial Conference of the Systematics Association	2019	Evolution	10	the Systematics Association	1000	800	Bristol, UK	Biennial	University of Bristol, The Lennean Society of London, Gilson, Paleobiology University of Bristol	None	None	 $2000-$4000	$220-$345	1200	240	Yes Scientific program and abstract book were both online on conference website.	None	None	None	None	None	Yes, limited in number, 200 Pounds	None	None	None	2 Men: 1 Woman	None	63 Men: 21 Women	14 Men: 9 Women	No information available online.	None	None	None	https://systass.org/events-2019/biennial-2019/	
American Ornithology 2019	2019	Evolution	137	American Ornithology Society	3000	2000	Anchorage, USA	Annual		None	None	 $2000-$4000	$200-$885	3000	600	Yes the program was provided online on the conference website.	None	None	Yes (https://naocbirds.org/caregiver-grants/)	Yes (1. Promoting diversity and inclusion in ornithology – mini discussions.   2.Life-cycle Transitions: A workshop for academic and non-academic early-career ornithologists preparing for the next stage.  3. Community Engaged Research: How, where, when, & why?    4.Increasing Your Success and Social Capital in Conservation.  5.Working with data collected by citizen scientists – challenges and opportunities for ornithologists.  6.Introduction to Motus WTS: project planning, equipment, and data management)	Yes (1. Student Presentation Awards.   2. Social reception following the Early Professionals Mini-Talk Symposium, which will provide a chance to meet with the participants and other early career and mid/senior ornithologists:We invite you to submit an abstract for consideration as a presentation during the 7th Annual Early Professionals Mini-Talk Symposium that will be part of the North American Ornithological Conference (NAOC) in San Juan, Puerto Rico, from 10–15 August. The Early Professionals Mini-Talk Symposium is designed to highlight the exciting research and professional activities performed by ornithologists in the early stages of their careers (i.e. have defended their PhD in the past 7 years, pursuing/initiating a research career, in the first five years of an agency/private sector position, etc). During this lively and fast-paced event, participants will have 4 minutes and 30 seconds to showcase their recent professional advances, the techniques they employ, the future directions their career will take, and their broader identity as ornithologists. At the conclusion of the talks, the participants will sit as a panel to take questions from the audience on their visions of where ornithology is headed, and how they see themselves contributing. The organizers will prepare some questions ahead of time, but will also take questions from the audience. This event will be live tweeted, therefore participants will be asked to submit a tweet (280 characters) summarizing their research program prior to the symposium. Please note that participation in this symposium does NOT preclude you from also submitting an abstract for the normal program; you may participate in both. Following the talks there will be an Early Professional Social, a chance to meet with the participants and other early career and senior ornithologists. To give all attendees the opportunity to learn about these early career researchers, the symposium is a stand-alone event. Please stay tuned for the exact times and locations.  Goal of the Symposium The goal is to introduce yourself to the audience, which will contain ornithologists both inside and outside of your field, and get them excited about your career trajectory. You are encouraged to be broad and present the big picture. This forum is meant for you to showcase you as a scientist and what your contributions are to the field (both present and future), and NOT the specific details of your most recent paper. Your abstract should be a professional summary and provide the overarching question guiding your research, main research themes, and the tools you use to address your research questions or other professional goals, examples of projects you have worked on, and a discussion of your future directions. There are many ways to approach this abstract and presentation—make it your own. The goal is to communicate who you are as a scientist.ow you achieve that goal is up to you.)	Yes (travel awards for students (undergraduate, masters, and doctoral) as well as postdocs to help defray expenses: Student & Postdoc Travel & Presentation Awards)	https://naocbirds.org/meeting-code-of-conduct/	Only that the Univsersity has security (Griffith University Security Security services are available 24-hours on all Griffith University campuses and are handled by the Campus Support Team. If the campus Security Office is unattended, a telephone is available at the front of each office to contact the team or alternatively call 1800 800 707 (free call) anywhere on campus. A Griffith security office is located on South Bank Campus in S03 building, in the Courtyard next to the APCHE Lecture Theatre S05_2.04 (map). For more information about Griffith Security, go to: https://www.griffith.edu.au/security Police may be contacted where there is suspected criminal activity. In an emergency call Fire, Ambulance, and Police on 000 or 112 from a mobile.)	Yes Diversity Statement(The North American Ornithological Conference (NAOC) welcomes and warmly encourages participation in our meetings by all individuals regardless of gender identity and/or expression, race, ethnicity, nation of origin, citizenship status, religion, age, marital status, sexual orientation, disabilities, or any other protected status. We are committed to providing a safe, open, and bias-free environment, and to achieving and maintaining diversity in meetings, membership, leadership, volunteers, and staff, and to promoting equality of opportunity and treatment for all. We embrace diversity for its power to develop new ideas, and to foster a productive environment through the introduction of different backgrounds, perspectives, and experiences. In representing the field of ornithology, we strive to lead by example as advocates for equality, diversity, and inclusion.)	1 Man	2 Women: 1 Man 	Not Applicable to this conference.	Symposia Organizers:  35 Men:  28 Women	Local Planning Committee: 3 Men: 1 Woman.   Steering Committee: 9 Women: 5 Men.   Scien tific Program Committee: 4 Men: 4 Women	None	None	None	https://naocbirds.org/	
Asia Pacific Conference on Human Evolution	2019	Human Evolution	1	Not Applicable	Not Applicable	200	Griffith University South Bank campus, Brisbane, Australia	Annual		None	None	 $2000-$4000	$101-$235	300	60	Yes the program was provided online on the conference website.	None	None	None	None	only an Ice-breaker reception 	None	https://www.griffith.edu.au/__data/assets/pdf_file/0034/283786/Code-of-Conduct.pdf	None	None	Not Applicable to this conference.	Not Applicable to this conference.	No information available online.	No information available online.	9 Women: 2 Men 	None	None	None	https://www.griffith.edu.au/environmental-futures-research-institute/research-centre-human-evolution/news-events/asia-pacific-conference-human-evolution	
International Society for the History, Philosophy & Social Sciences of Biology biennial meeting	2019	History, Philosophy & Social Sciences of Biology 	14	International Society for the History, Philosophy & Social Sciences of Biology	2000	1500	Oslo, Norway	Biennial	The Research Council of Norway, University of Oslo, Centre for Ecological and Evolutionary Synthesis • Department of Biosciences • Institute of Health and Society • Museum of Cultural History • Science Studies Colloquium • TIK Centre for Technology, Innovation and Culture	None	None	 $2000-$4000	$85-$310	2250	450	Yes the program was provided online on the conference website.	None (Not Free or ON-site:ISHPSSB is family friendly and welcomes children at its conferences. We therefore welcome children as part of the audience during the 2019 conference in Oslo. The whole city is also rather children-friendly and kids are literally enjoying all aspects of life with their families. Breastfeeding in public is a well-established norm despite some recent discussion. The organizers will also provide a dedicated room for taking care of children’s needs. For those who wish to contact local childcare services, the following can be contacted. Participants are advised that July is the high holiday season in Norway, so contact with the childcare services should be made well in advance of the conference in order to ensure staff availability. The conference organizers are not endorsing or taking responsibility for the childcare providers.)	None	None	None	None	Yes (Travel support for Graduate Students, Postdoctoral fellows and Independent Scholars: Graduate Students as well as Postdoctoral Fellows and Independent Scholars are eligible to apply for Travel Grants supported by ISHPSSB and the US National Science Foundation (grant no. 1656206). Any donations to the ISHPSSB travel fund are gratefully received by the next generation of scholars of biology: NSF Travel Grant Eligibility You must participate in and register for ISHPSSB 2019 (e.g. present a paper or poster, etc.) You must be a graduate student, independent scholar, or recent PhD graduate (within the last five years). You must be either a U.S. citizen or affiliated with a U.S. institution. The grants may be used to cover travel costs to and from the meeting only; lodging, etc. is not covered. In general, only airfare from US-flag carriers can be reimbursed by this grant.  ISHPSSB Travel Grant Eligibility You must participate in and register for ISHPSSB 2019 (e.g. present a paper or poster, etc.) You must be a graduate student, independent scholar, or recent PhD graduate (within the last five years). The grants may be used to cover travel costs to and from the meeting only; lodging, etc. is not covered. In general, those eligible for the NSF Travel Grant are NOT eligible for the ISHPSSB Travel Grant.)	None	None	None	1 Man: 1 Woman	Not Applicable to this conference.	Not Applicable to this conference.	85 Men: 44 Women	2 Women	None	None	Yes Vegeterian & Sustainable Food Catering (The catering services of Funky Fresh Foods will be used throughout the conference, including welcome reception, coffee breaks and conference dinner. Funky Fresh Foods has been the major business in Norway behind the rising interest in the benefits of veganism – including animal welfare, personal health and the impact on the environment. Over 80 % of the food is organic and they are certified ISO 14001 for their environmental work.)	https://ishpssb2019.tekniskmuseum.no/	
Microbial Population Biology GRC	2019	Microbial Population Biology	19	Gordon Research Conference	Not Applicable	200	Andover, USA	Biennial		None	None	 $2000-$4000	$300-$600	300	60	The prgram of speakers and sessions is online but Gordon research conferences refrain from making the book of abstracts available online.	None	GRC offers guest and child registration packages that allow guests to share your accommodations and join you at meals. Children under 4-years-old are free of charge and children ages 4-12 receive a 50% discount.	50% discount on registeration	None	accompanying GRS meeting is dedicated to ECR talks only. 	Car Strom Underrepresented Minority Fellowship: Eligibility: must be:     Graduate student, postdoc, faculty or research scientist     Hispanic or Latino, American Indian or Alaska Native, Black or African American, Native Hawaiian or Other Pacific Islander     U.S. Citizen or permanent resident with a Green Card     Currently working at a U.S. institution     Is attending a GRC for the first time	https://www.grc.org/about/grc-policies-and-legal-disclaimers/	None	None	Not Applicable to this conference.	Not Applicable to this conference.	18 Men: 13 Women	4 Men: 4 Women	1 Man: 1 Woman	None	None	None	https://www.grc.org/microbial-population-biology-conference/2019/	
Island Biology 2019	2019	Island Biology	3	International Society for Island Biology (SIB)	600	370	Reunion, France	Annual		Yes Livestreaming was available on multiple days (https://www.youtube.com/results?search_query=universit%C3%A9+de+la+r%C3%A9union)	None	 $2000-$4000	$163-$434	555	111	Yes the program was provided online on the conference website.	None	None	None	None	None	None	None	None	None	Not Applicable to this conference.	4 Men: 2 Women	22 Men: 9 Women	Not Applicable to this conference.	1 Man: 1 Woman	None	None	None	https://ib2019.sciencesconf.org/	370 attendees from 47 countries
Marine Molecular Ecology GRC	2019	Ecology	5	Gordon Research Conference	Not Applicable	200	HongKomg, China	Biennial		None	None	 $2000-$4000	$300-$600	300	60	The prgram of speakers and sessions is online but Gordon research conferences refrain from making the book of abstracts available online.	None	GRC offers guest and child registration packages that allow guests to share your accommodations and join you at meals. Children under 4-years-old are free of charge and children ages 4-12 receive a 50% discount.	50% discount on registeration	None	accompanying GRS meeting is dedicated to ECR talks only. 	Car Strom Underrepresented Minority Fellowship: Eligibility: must be:     Graduate student, postdoc, faculty or research scientist     Hispanic or Latino, American Indian or Alaska Native, Black or African American, Native Hawaiian or Other Pacific Islander     U.S. Citizen or permanent resident with a Green Card     Currently working at a U.S. institution     Is attending a GRC for the first time	https://www.grc.org/about/grc-policies-and-legal-disclaimers/	None	None	Not Applicable to this conference.	Not Applicable to this conference.	25 Men: 10 Women	4 Women: 5 Men	2 Women	None	None	None	https://www.grc.org/marine-molecular-ecology-conference/2019/	
Ecological & Evolutionary Genomics GRC	2019	Ecology & Evolution	10	Gordon Research Conference	Not Applicable	200	Biddeford, USA	Biennial		None	None	 $2000-$4000	$300-$600	300	60	The prgram of speakers and sessions is online but Gordon research conferences refrain from making the book of abstracts available online.	None	GRC offers guest and child registration packages that allow guests to share your accommodations and join you at meals. Children under 4-years-old are free of charge and children ages 4-12 receive a 50% discount.	50% discount on registeration	None	accompanying GRS meeting is dedicated to ECR talks only. 	Car Strom Underrepresented Minority Fellowship: Eligibility: must be:     Graduate student, postdoc, faculty or research scientist     Hispanic or Latino, American Indian or Alaska Native, Black or African American, Native Hawaiian or Other Pacific Islander     U.S. Citizen or permanent resident with a Green Card     Currently working at a U.S. institution     Is attending a GRC for the first time	https://www.grc.org/about/grc-policies-and-legal-disclaimers/	None	None	Not Applicable to this conference.	Not Applicable to this conference.	20 Women: 16 Men	5 Women: 4 Men	1 Man: 1 Woman	None	None	None	https://www.grc.org/ecological-and-evolutionary-genomics-conference/2019/	
International Society of Evolution, Ecology & Cancer	2019	Evolution, Ecology & Cancer	6	International Society of Evolution, Ecology & Cancer	1000	500	Hinxton, UK	Annual 	Trends in Cancer journal	None	None	 $2000-$4000	$285-$731	750	150	Yes program book was provided on the conference website as a .pdf file.	None	None	None	None	None	Yes (A limited number of registration bursaries are available for PhD students to attend this conference (up to 50% of the standard registration fee) from Wellcome Genome Campus Scientific Conferences.)	None	None	None	1 Woman: 2 Men	None	15 Men: 14 Women	3 Men: 2 Women	2 Women: 2 Men	None	None	None	http://www.iseec.org/	
Mathematical Models in Ecology & Evolution	2019	Mathematics in Evolution & Ecology 	7	Not Applicable	Not Applicable	200	Lyon, France	Annual		None	None	 $2000-$4000	No information available	300	60	Yes program book was provided on the conference website as a .pdf file.	None	None	None	None	None	None	None	None	None	Not Applicable to this conference.	Not Applicable to this conference.	4 Men: 3 Women	Not Applicable to this conference.	2 Women: 4 Men	None	None	None	https://mmee2019lyon.sciencesconf.org/	
International Congress for Conservation Biology meeting	2019	Conservation Biology	29	International Congress for Conservation Biology	3000	2000	Kuala Lumpur, Malaysia	Biennial	ATS(Advanced Telemetry System), Biji Biji Ethical Fashions, BirdLife International, #BreakFreeFromPlasti, British Ecological Society, CENERGI-SEA SDN BHD	None	None	 $2000-$4000	$249-$735	3000	600	Yes the program was provided online on the conference website plus and App	Yes (There is a lounge will be available for nursing mothers. The comfortable area is equipped with lockable doors, furniture, refrigerator, separate bathroom, and power outlets to use for pumping sessions. Please bring outlet converters if needed.)	None	None	Yes (1. What editors and reviewers are (not) expecting to find in your submission.  2. Early career perspectives on the future of conservation.)	Yes (1. ICCB 2019 also offers a wealth of early career programming including launching the ICCB First-Time Delegate Mentoring Program which pairs first time delegates those who have participated in past Congresses and will share experiences, provide guidance, and facilitate key networking opportunities.  Career Night! provides opportunities to participate in mock interviews and have your CV reviewed, have a professional head shot photograph taken, and meet with NGO, university, and industry leaders who are recruiting for current and future job openings.     2. Early Career Conservationist Award For achievements in conservation by professionals early in their careers.)	Yes	https://conbio.org/mini-sites/iccb-2019/registration/code-of-conduct/	Yes Has assigned safety officer (SAFETY OFFICERSCB is committed to the safety of all delegates. We have hired, Ruth Beach, professional mediator, to serve as ICCB 2019’s safety officer.  If you need to report a violation of the code of conduct please take these steps to make a report:• Delegates can go to the ICCB Registration and Information Desk (when it is staffed); they will contact Ms. Beach to make a report.• Delegates can send an email to safemeeting@conbio.org with their name, contact information and a brief description of the concern.• After hours, delegates call +1 (571)-354-0947 for emergency situations.)	None	Not Applicable to this conference.	2 Women: 5 Men	Not Applicable to this conference.	Not Applicable to this conference.	1 Man: 1 Woman	None	None	Yes (CARBON OFFSETAt SCB, we know that the impacts of climate change are already affecting the planet in unprecedented ways. With many of our members involved in the fight against climate change, and with climate change continuing to threaten biodiversity, we are committed to mitigating the impact that travel to and from ICCB 2019 will have on carbon emissions. Together with our partners at South Pole, we have reserved up to 4,000t of carbon offsets for ICCB 2019 to be used in our selected carbon offset projects; Borneo Forest Protection, Malaysia – Preserving Borneo’s richly diverse tropical forests and Keo Seima Wildlife Sanctuary, Cambodia. The Borneo Forestry Project in Malaysia protects and rehabilitates 25,000 hectares of degraded rainforest in the area of Sabah via tree planting and sustainable forest restoration activities.Keo Seima Wildlife Sanctuary (REDD+) conserves 166,983 hectares of the Seima Protection Forest, preventing deforestation and degradation and reducing forest and wildlife crime through law enforcement increases local species populations. The project also funds local community development, improving numeracy and literacy levels and encouraging locals to profit from sustainable land and resource use, including ecotourism and the marketing of non-timber forest products.).  Also had ICCB 2019 SUSTAINABILITY SHOWCASE AND THEATER.	https://conbio.org/mini-sites/iccb-2019	Please be aware: the Society for Conservation Biology and Conservation Biology journal are not associated with the WASET conference called ICCB 2019: 21st International Conference on Conservation Biology. The congress has been reported to the International Congress and Convention Association.
Society for Molecular Biology & Evolution meeting	2019	Molecular Biology & Evolution	18	Society for Molecular Biology & Evolution	2000	1400	Manchester, UK	Annual		None	None	 $2000-$4000	$350-$650	2100	420	Yes the program was provided online on the conference website both in interactive for and as a .pdf file.	None	None	None	None	Yes (Allan Wilson Junior Award for Independent Research)	Yes (SMBE Young Investigator Award:Attending a major conference is particularly important for young researchers because it allows them to present their work to an expert audience and gives them the opportunity to make useful contacts. However, SMBE recognizes that travel funds may not be available at this critical time. Postdoctoral researchers and graduate students may apply for travel awards to attend the annual SMBE meeting. Awardees are granted up to US $1500 for travel within the same continent, and up to US $2000 for long-haul travel. Reimbursements are processed after the meeting and awardees may claim travel, accommodation and meeting registration expenses.)	http://smbe2019.org/smbe-policies/	None	None	2 Women: 2 Men	Not Applicable to this conference.	Not Applicable to this conference.	Not Applicable to this conference.	No information available online.	None	None	None	http://smbe2019.org/	
Archaea: Ecology, metabolism & Molecular Biology GRC	2019	Archaea: Ecology, metabolism & Molecular Biology	16	Gordon Research Conference	Not Applicable	200	Les Diablerets, Switzerland	Biennial		None	None	 $2000-$4000	$300-$600	300	60	The prgram of speakers and sessions is online but Gordon research conferences refrain from making the book of abstracts available online.	None	GRC offers guest and child registration packages that allow guests to share your accommodations and join you at meals. Children under 4-years-old are free of charge and children ages 4-12 receive a 50% discount.	50% discount on registeration	None	accompanying GRS meeting is dedicated to ECR talks only. 	Car Strom Underrepresented Minority Fellowship: Eligibility: must be:     Graduate student, postdoc, faculty or research scientist     Hispanic or Latino, American Indian or Alaska Native, Black or African American, Native Hawaiian or Other Pacific Islander     U.S. Citizen or permanent resident with a Green Card     Currently working at a U.S. institution     Is attending a GRC for the first time	https://www.grc.org/about/grc-policies-and-legal-disclaimers/	None	None	Not Applicable to this conference.	Not Applicable to this conference.	25 Men: 24 Women	7 Men: 2 Women	Chairs: 1 Man:1 Woman	None	None	None	https://www.grc.org/archaea-ecology-metabolism-and-molecular-biology-conference/2019/	
Species on the Move	2019	Ecology & Evolution	2	SOTM was hosted by Rhodes University, South Africa, and UTAS, Australia	Not Applicable	200	Kruger National Park, South Africa	every 3 years	University of Tasmania, Institute for Marine and Antarctic Studies (IMA), Center for Marine Socioecology(CMS)	None	None	 $2000-$4000	No information available online	300	60	Yes the program was provided online on the conference website.	None	None	None	None	None	None	None	None	None	8 Men: 8 Women	None	Not Applicable to this conference.	17 Men: 12 Women	co-conveenors: 1 Man: 1 Women, Organizing committee including an early career researcher committee: 12 Women: 10 Men	None	None	None	http://www.speciesonthemove.com/	
